,emoji,group,subgroup,name,qualified_status,edition,codepoint_readable,utf8_codepoint
1719,🧜🏾‍♂,People & Body,person-fantasy,merman: medium-dark skin tone,minimally-qualified,E5.0,1F9DC 1F3FE 200D 2642,\U0001f9dc\U0001f3fe\u200d\u2642
1720,🧜🏿‍♂️,People & Body,person-fantasy,merman: dark skin tone,fully-qualified,E5.0,1F9DC 1F3FF 200D 2642 FE0F,\U0001f9dc\U0001f3ff\u200d\u2642\ufe0f
1721,🧜🏿‍♂,People & Body,person-fantasy,merman: dark skin tone,minimally-qualified,E5.0,1F9DC 1F3FF 200D 2642,\U0001f9dc\U0001f3ff\u200d\u2642
1722,🧜‍♀️,People & Body,person-fantasy,mermaid,fully-qualified,E5.0,1F9DC 200D 2640 FE0F,\U0001f9dc\u200d\u2640\ufe0f
1723,🧜‍♀,People & Body,person-fantasy,mermaid,minimally-qualified,E5.0,1F9DC 200D 2640,\U0001f9dc\u200d\u2640
1724,🧜🏻‍♀️,People & Body,person-fantasy,mermaid: light skin tone,fully-qualified,E5.0,1F9DC 1F3FB 200D 2640 FE0F,\U0001f9dc\U0001f3fb\u200d\u2640\ufe0f
1725,🧜🏻‍♀,People & Body,person-fantasy,mermaid: light skin tone,minimally-qualified,E5.0,1F9DC 1F3FB 200D 2640,\U0001f9dc\U0001f3fb\u200d\u2640
1726,🧜🏼‍♀️,People & Body,person-fantasy,mermaid: medium-light skin tone,fully-qualified,E5.0,1F9DC 1F3FC 200D 2640 FE0F,\U0001f9dc\U0001f3fc\u200d\u2640\ufe0f
1727,🧜🏼‍♀,People & Body,person-fantasy,mermaid: medium-light skin tone,minimally-qualified,E5.0,1F9DC 1F3FC 200D 2640,\U0001f9dc\U0001f3fc\u200d\u2640
1728,🧜🏽‍♀️,People & Body,person-fantasy,mermaid: medium skin tone,fully-qualified,E5.0,1F9DC 1F3FD 200D 2640 FE0F,\U0001f9dc\U0001f3fd\u200d\u2640\ufe0f
1729,🧜🏽‍♀,People & Body,person-fantasy,mermaid: medium skin tone,minimally-qualified,E5.0,1F9DC 1F3FD 200D 2640,\U0001f9dc\U0001f3fd\u200d\u2640
1730,🧜🏾‍♀️,People & Body,person-fantasy,mermaid: medium-dark skin tone,fully-qualified,E5.0,1F9DC 1F3FE 200D 2640 FE0F,\U0001f9dc\U0001f3fe\u200d\u2640\ufe0f
1731,🧜🏾‍♀,People & Body,person-fantasy,mermaid: medium-dark skin tone,minimally-qualified,E5.0,1F9DC 1F3FE 200D 2640,\U0001f9dc\U0001f3fe\u200d\u2640
1732,🧜🏿‍♀️,People & Body,person-fantasy,mermaid: dark skin tone,fully-qualified,E5.0,1F9DC 1F3FF 200D 2640 FE0F,\U0001f9dc\U0001f3ff\u200d\u2640\ufe0f
1733,🧜🏿‍♀,People & Body,person-fantasy,mermaid: dark skin tone,minimally-qualified,E5.0,1F9DC 1F3FF 200D 2640,\U0001f9dc\U0001f3ff\u200d\u2640
1734,🧝,People & Body,person-fantasy,elf,fully-qualified,E5.0,1F9DD,\U0001f9dd
1735,🧝🏻,People & Body,person-fantasy,elf: light skin tone,fully-qualified,E5.0,1F9DD 1F3FB,\U0001f9dd\U0001f3fb
1736,🧝🏼,People & Body,person-fantasy,elf: medium-light skin tone,fully-qualified,E5.0,1F9DD 1F3FC,\U0001f9dd\U0001f3fc
1737,🧝🏽,People & Body,person-fantasy,elf: medium skin tone,fully-qualified,E5.0,1F9DD 1F3FD,\U0001f9dd\U0001f3fd
1738,🧝🏾,People & Body,person-fantasy,elf: medium-dark skin tone,fully-qualified,E5.0,1F9DD 1F3FE,\U0001f9dd\U0001f3fe
1739,🧝🏿,People & Body,person-fantasy,elf: dark skin tone,fully-qualified,E5.0,1F9DD 1F3FF,\U0001f9dd\U0001f3ff
1740,🧝‍♂️,People & Body,person-fantasy,man elf,fully-qualified,E5.0,1F9DD 200D 2642 FE0F,\U0001f9dd\u200d\u2642\ufe0f
1741,🧝‍♂,People & Body,person-fantasy,man elf,minimally-qualified,E5.0,1F9DD 200D 2642,\U0001f9dd\u200d\u2642
1742,🧝🏻‍♂️,People & Body,person-fantasy,man elf: light skin tone,fully-qualified,E5.0,1F9DD 1F3FB 200D 2642 FE0F,\U0001f9dd\U0001f3fb\u200d\u2642\ufe0f
1743,🧝🏻‍♂,People & Body,person-fantasy,man elf: light skin tone,minimally-qualified,E5.0,1F9DD 1F3FB 200D 2642,\U0001f9dd\U0001f3fb\u200d\u2642
1744,🧝🏼‍♂️,People & Body,person-fantasy,man elf: medium-light skin tone,fully-qualified,E5.0,1F9DD 1F3FC 200D 2642 FE0F,\U0001f9dd\U0001f3fc\u200d\u2642\ufe0f
1745,🧝🏼‍♂,People & Body,person-fantasy,man elf: medium-light skin tone,minimally-qualified,E5.0,1F9DD 1F3FC 200D 2642,\U0001f9dd\U0001f3fc\u200d\u2642
1746,🧝🏽‍♂️,People & Body,person-fantasy,man elf: medium skin tone,fully-qualified,E5.0,1F9DD 1F3FD 200D 2642 FE0F,\U0001f9dd\U0001f3fd\u200d\u2642\ufe0f
1747,🧝🏽‍♂,People & Body,person-fantasy,man elf: medium skin tone,minimally-qualified,E5.0,1F9DD 1F3FD 200D 2642,\U0001f9dd\U0001f3fd\u200d\u2642
1748,🧝🏾‍♂️,People & Body,person-fantasy,man elf: medium-dark skin tone,fully-qualified,E5.0,1F9DD 1F3FE 200D 2642 FE0F,\U0001f9dd\U0001f3fe\u200d\u2642\ufe0f
1749,🧝🏾‍♂,People & Body,person-fantasy,man elf: medium-dark skin tone,minimally-qualified,E5.0,1F9DD 1F3FE 200D 2642,\U0001f9dd\U0001f3fe\u200d\u2642
1750,🧝🏿‍♂️,People & Body,person-fantasy,man elf: dark skin tone,fully-qualified,E5.0,1F9DD 1F3FF 200D 2642 FE0F,\U0001f9dd\U0001f3ff\u200d\u2642\ufe0f
1751,🧝🏿‍♂,People & Body,person-fantasy,man elf: dark skin tone,minimally-qualified,E5.0,1F9DD 1F3FF 200D 2642,\U0001f9dd\U0001f3ff\u200d\u2642
1752,🧝‍♀️,People & Body,person-fantasy,woman elf,fully-qualified,E5.0,1F9DD 200D 2640 FE0F,\U0001f9dd\u200d\u2640\ufe0f
1753,🧝‍♀,People & Body,person-fantasy,woman elf,minimally-qualified,E5.0,1F9DD 200D 2640,\U0001f9dd\u200d\u2640
1754,🧝🏻‍♀️,People & Body,person-fantasy,woman elf: light skin tone,fully-qualified,E5.0,1F9DD 1F3FB 200D 2640 FE0F,\U0001f9dd\U0001f3fb\u200d\u2640\ufe0f
1755,🧝🏻‍♀,People & Body,person-fantasy,woman elf: light skin tone,minimally-qualified,E5.0,1F9DD 1F3FB 200D 2640,\U0001f9dd\U0001f3fb\u200d\u2640
1756,🧝🏼‍♀️,People & Body,person-fantasy,woman elf: medium-light skin tone,fully-qualified,E5.0,1F9DD 1F3FC 200D 2640 FE0F,\U0001f9dd\U0001f3fc\u200d\u2640\ufe0f
1757,🧝🏼‍♀,People & Body,person-fantasy,woman elf: medium-light skin tone,minimally-qualified,E5.0,1F9DD 1F3FC 200D 2640,\U0001f9dd\U0001f3fc\u200d\u2640
1758,🧝🏽‍♀️,People & Body,person-fantasy,woman elf: medium skin tone,fully-qualified,E5.0,1F9DD 1F3FD 200D 2640 FE0F,\U0001f9dd\U0001f3fd\u200d\u2640\ufe0f
1759,🧝🏽‍♀,People & Body,person-fantasy,woman elf: medium skin tone,minimally-qualified,E5.0,1F9DD 1F3FD 200D 2640,\U0001f9dd\U0001f3fd\u200d\u2640
1760,🧝🏾‍♀️,People & Body,person-fantasy,woman elf: medium-dark skin tone,fully-qualified,E5.0,1F9DD 1F3FE 200D 2640 FE0F,\U0001f9dd\U0001f3fe\u200d\u2640\ufe0f
1761,🧝🏾‍♀,People & Body,person-fantasy,woman elf: medium-dark skin tone,minimally-qualified,E5.0,1F9DD 1F3FE 200D 2640,\U0001f9dd\U0001f3fe\u200d\u2640
1762,🧝🏿‍♀️,People & Body,person-fantasy,woman elf: dark skin tone,fully-qualified,E5.0,1F9DD 1F3FF 200D 2640 FE0F,\U0001f9dd\U0001f3ff\u200d\u2640\ufe0f
1763,🧝🏿‍♀,People & Body,person-fantasy,woman elf: dark skin tone,minimally-qualified,E5.0,1F9DD 1F3FF 200D 2640,\U0001f9dd\U0001f3ff\u200d\u2640
1764,🧞,People & Body,person-fantasy,genie,fully-qualified,E5.0,1F9DE,\U0001f9de
1765,🧞‍♂️,People & Body,person-fantasy,man genie,fully-qualified,E5.0,1F9DE 200D 2642 FE0F,\U0001f9de\u200d\u2642\ufe0f
1766,🧞‍♂,People & Body,person-fantasy,man genie,minimally-qualified,E5.0,1F9DE 200D 2642,\U0001f9de\u200d\u2642
1767,🧞‍♀️,People & Body,person-fantasy,woman genie,fully-qualified,E5.0,1F9DE 200D 2640 FE0F,\U0001f9de\u200d\u2640\ufe0f
1768,🧞‍♀,People & Body,person-fantasy,woman genie,minimally-qualified,E5.0,1F9DE 200D 2640,\U0001f9de\u200d\u2640
1769,🧟,People & Body,person-fantasy,zombie,fully-qualified,E5.0,1F9DF,\U0001f9df
1770,🧟‍♂️,People & Body,person-fantasy,man zombie,fully-qualified,E5.0,1F9DF 200D 2642 FE0F,\U0001f9df\u200d\u2642\ufe0f
1771,🧟‍♂,People & Body,person-fantasy,man zombie,minimally-qualified,E5.0,1F9DF 200D 2642,\U0001f9df\u200d\u2642
1772,🧟‍♀️,People & Body,person-fantasy,woman zombie,fully-qualified,E5.0,1F9DF 200D 2640 FE0F,\U0001f9df\u200d\u2640\ufe0f
1773,🧟‍♀,People & Body,person-fantasy,woman zombie,minimally-qualified,E5.0,1F9DF 200D 2640,\U0001f9df\u200d\u2640
1774,💆,People & Body,person-activity,person getting massage,fully-qualified,E0.6,1F486,\U0001f486
1775,💆🏻,People & Body,person-activity,person getting massage: light skin tone,fully-qualified,E1.0,1F486 1F3FB,\U0001f486\U0001f3fb
1776,💆🏼,People & Body,person-activity,person getting massage: medium-light skin tone,fully-qualified,E1.0,1F486 1F3FC,\U0001f486\U0001f3fc
1777,💆🏽,People & Body,person-activity,person getting massage: medium skin tone,fully-qualified,E1.0,1F486 1F3FD,\U0001f486\U0001f3fd
1778,💆🏾,People & Body,person-activity,person getting massage: medium-dark skin tone,fully-qualified,E1.0,1F486 1F3FE,\U0001f486\U0001f3fe
1779,💆🏿,People & Body,person-activity,person getting massage: dark skin tone,fully-qualified,E1.0,1F486 1F3FF,\U0001f486\U0001f3ff
1780,💆‍♂️,People & Body,person-activity,man getting massage,fully-qualified,E4.0,1F486 200D 2642 FE0F,\U0001f486\u200d\u2642\ufe0f
1781,💆‍♂,People & Body,person-activity,man getting massage,minimally-qualified,E4.0,1F486 200D 2642,\U0001f486\u200d\u2642
1782,💆🏻‍♂️,People & Body,person-activity,man getting massage: light skin tone,fully-qualified,E4.0,1F486 1F3FB 200D 2642 FE0F,\U0001f486\U0001f3fb\u200d\u2642\ufe0f
1783,💆🏻‍♂,People & Body,person-activity,man getting massage: light skin tone,minimally-qualified,E4.0,1F486 1F3FB 200D 2642,\U0001f486\U0001f3fb\u200d\u2642
1784,💆🏼‍♂️,People & Body,person-activity,man getting massage: medium-light skin tone,fully-qualified,E4.0,1F486 1F3FC 200D 2642 FE0F,\U0001f486\U0001f3fc\u200d\u2642\ufe0f
1785,💆🏼‍♂,People & Body,person-activity,man getting massage: medium-light skin tone,minimally-qualified,E4.0,1F486 1F3FC 200D 2642,\U0001f486\U0001f3fc\u200d\u2642
1786,💆🏽‍♂️,People & Body,person-activity,man getting massage: medium skin tone,fully-qualified,E4.0,1F486 1F3FD 200D 2642 FE0F,\U0001f486\U0001f3fd\u200d\u2642\ufe0f
1787,💆🏽‍♂,People & Body,person-activity,man getting massage: medium skin tone,minimally-qualified,E4.0,1F486 1F3FD 200D 2642,\U0001f486\U0001f3fd\u200d\u2642
1788,💆🏾‍♂️,People & Body,person-activity,man getting massage: medium-dark skin tone,fully-qualified,E4.0,1F486 1F3FE 200D 2642 FE0F,\U0001f486\U0001f3fe\u200d\u2642\ufe0f
1789,💆🏾‍♂,People & Body,person-activity,man getting massage: medium-dark skin tone,minimally-qualified,E4.0,1F486 1F3FE 200D 2642,\U0001f486\U0001f3fe\u200d\u2642
1790,💆🏿‍♂️,People & Body,person-activity,man getting massage: dark skin tone,fully-qualified,E4.0,1F486 1F3FF 200D 2642 FE0F,\U0001f486\U0001f3ff\u200d\u2642\ufe0f
1791,💆🏿‍♂,People & Body,person-activity,man getting massage: dark skin tone,minimally-qualified,E4.0,1F486 1F3FF 200D 2642,\U0001f486\U0001f3ff\u200d\u2642
1792,💆‍♀️,People & Body,person-activity,woman getting massage,fully-qualified,E4.0,1F486 200D 2640 FE0F,\U0001f486\u200d\u2640\ufe0f
1793,💆‍♀,People & Body,person-activity,woman getting massage,minimally-qualified,E4.0,1F486 200D 2640,\U0001f486\u200d\u2640
1794,💆🏻‍♀️,People & Body,person-activity,woman getting massage: light skin tone,fully-qualified,E4.0,1F486 1F3FB 200D 2640 FE0F,\U0001f486\U0001f3fb\u200d\u2640\ufe0f
1795,💆🏻‍♀,People & Body,person-activity,woman getting massage: light skin tone,minimally-qualified,E4.0,1F486 1F3FB 200D 2640,\U0001f486\U0001f3fb\u200d\u2640
1796,💆🏼‍♀️,People & Body,person-activity,woman getting massage: medium-light skin tone,fully-qualified,E4.0,1F486 1F3FC 200D 2640 FE0F,\U0001f486\U0001f3fc\u200d\u2640\ufe0f
1797,💆🏼‍♀,People & Body,person-activity,woman getting massage: medium-light skin tone,minimally-qualified,E4.0,1F486 1F3FC 200D 2640,\U0001f486\U0001f3fc\u200d\u2640
1798,💆🏽‍♀️,People & Body,person-activity,woman getting massage: medium skin tone,fully-qualified,E4.0,1F486 1F3FD 200D 2640 FE0F,\U0001f486\U0001f3fd\u200d\u2640\ufe0f
1799,💆🏽‍♀,People & Body,person-activity,woman getting massage: medium skin tone,minimally-qualified,E4.0,1F486 1F3FD 200D 2640,\U0001f486\U0001f3fd\u200d\u2640
1800,💆🏾‍♀️,People & Body,person-activity,woman getting massage: medium-dark skin tone,fully-qualified,E4.0,1F486 1F3FE 200D 2640 FE0F,\U0001f486\U0001f3fe\u200d\u2640\ufe0f
1801,💆🏾‍♀,People & Body,person-activity,woman getting massage: medium-dark skin tone,minimally-qualified,E4.0,1F486 1F3FE 200D 2640,\U0001f486\U0001f3fe\u200d\u2640
1802,💆🏿‍♀️,People & Body,person-activity,woman getting massage: dark skin tone,fully-qualified,E4.0,1F486 1F3FF 200D 2640 FE0F,\U0001f486\U0001f3ff\u200d\u2640\ufe0f
1803,💆🏿‍♀,People & Body,person-activity,woman getting massage: dark skin tone,minimally-qualified,E4.0,1F486 1F3FF 200D 2640,\U0001f486\U0001f3ff\u200d\u2640
1804,💇,People & Body,person-activity,person getting haircut,fully-qualified,E0.6,1F487,\U0001f487
1805,💇🏻,People & Body,person-activity,person getting haircut: light skin tone,fully-qualified,E1.0,1F487 1F3FB,\U0001f487\U0001f3fb
1806,💇🏼,People & Body,person-activity,person getting haircut: medium-light skin tone,fully-qualified,E1.0,1F487 1F3FC,\U0001f487\U0001f3fc
1807,💇🏽,People & Body,person-activity,person getting haircut: medium skin tone,fully-qualified,E1.0,1F487 1F3FD,\U0001f487\U0001f3fd
1808,💇🏾,People & Body,person-activity,person getting haircut: medium-dark skin tone,fully-qualified,E1.0,1F487 1F3FE,\U0001f487\U0001f3fe
1809,💇🏿,People & Body,person-activity,person getting haircut: dark skin tone,fully-qualified,E1.0,1F487 1F3FF,\U0001f487\U0001f3ff
1810,💇‍♂️,People & Body,person-activity,man getting haircut,fully-qualified,E4.0,1F487 200D 2642 FE0F,\U0001f487\u200d\u2642\ufe0f
1811,💇‍♂,People & Body,person-activity,man getting haircut,minimally-qualified,E4.0,1F487 200D 2642,\U0001f487\u200d\u2642
1812,💇🏻‍♂️,People & Body,person-activity,man getting haircut: light skin tone,fully-qualified,E4.0,1F487 1F3FB 200D 2642 FE0F,\U0001f487\U0001f3fb\u200d\u2642\ufe0f
1813,💇🏻‍♂,People & Body,person-activity,man getting haircut: light skin tone,minimally-qualified,E4.0,1F487 1F3FB 200D 2642,\U0001f487\U0001f3fb\u200d\u2642
1814,💇🏼‍♂️,People & Body,person-activity,man getting haircut: medium-light skin tone,fully-qualified,E4.0,1F487 1F3FC 200D 2642 FE0F,\U0001f487\U0001f3fc\u200d\u2642\ufe0f
1815,💇🏼‍♂,People & Body,person-activity,man getting haircut: medium-light skin tone,minimally-qualified,E4.0,1F487 1F3FC 200D 2642,\U0001f487\U0001f3fc\u200d\u2642
1816,💇🏽‍♂️,People & Body,person-activity,man getting haircut: medium skin tone,fully-qualified,E4.0,1F487 1F3FD 200D 2642 FE0F,\U0001f487\U0001f3fd\u200d\u2642\ufe0f
1817,💇🏽‍♂,People & Body,person-activity,man getting haircut: medium skin tone,minimally-qualified,E4.0,1F487 1F3FD 200D 2642,\U0001f487\U0001f3fd\u200d\u2642
1818,💇🏾‍♂️,People & Body,person-activity,man getting haircut: medium-dark skin tone,fully-qualified,E4.0,1F487 1F3FE 200D 2642 FE0F,\U0001f487\U0001f3fe\u200d\u2642\ufe0f
1819,💇🏾‍♂,People & Body,person-activity,man getting haircut: medium-dark skin tone,minimally-qualified,E4.0,1F487 1F3FE 200D 2642,\U0001f487\U0001f3fe\u200d\u2642
1820,💇🏿‍♂️,People & Body,person-activity,man getting haircut: dark skin tone,fully-qualified,E4.0,1F487 1F3FF 200D 2642 FE0F,\U0001f487\U0001f3ff\u200d\u2642\ufe0f
1821,💇🏿‍♂,People & Body,person-activity,man getting haircut: dark skin tone,minimally-qualified,E4.0,1F487 1F3FF 200D 2642,\U0001f487\U0001f3ff\u200d\u2642
1822,💇‍♀️,People & Body,person-activity,woman getting haircut,fully-qualified,E4.0,1F487 200D 2640 FE0F,\U0001f487\u200d\u2640\ufe0f
1823,💇‍♀,People & Body,person-activity,woman getting haircut,minimally-qualified,E4.0,1F487 200D 2640,\U0001f487\u200d\u2640
1824,💇🏻‍♀️,People & Body,person-activity,woman getting haircut: light skin tone,fully-qualified,E4.0,1F487 1F3FB 200D 2640 FE0F,\U0001f487\U0001f3fb\u200d\u2640\ufe0f
1825,💇🏻‍♀,People & Body,person-activity,woman getting haircut: light skin tone,minimally-qualified,E4.0,1F487 1F3FB 200D 2640,\U0001f487\U0001f3fb\u200d\u2640
1826,💇🏼‍♀️,People & Body,person-activity,woman getting haircut: medium-light skin tone,fully-qualified,E4.0,1F487 1F3FC 200D 2640 FE0F,\U0001f487\U0001f3fc\u200d\u2640\ufe0f
1827,💇🏼‍♀,People & Body,person-activity,woman getting haircut: medium-light skin tone,minimally-qualified,E4.0,1F487 1F3FC 200D 2640,\U0001f487\U0001f3fc\u200d\u2640
1828,💇🏽‍♀️,People & Body,person-activity,woman getting haircut: medium skin tone,fully-qualified,E4.0,1F487 1F3FD 200D 2640 FE0F,\U0001f487\U0001f3fd\u200d\u2640\ufe0f
1829,💇🏽‍♀,People & Body,person-activity,woman getting haircut: medium skin tone,minimally-qualified,E4.0,1F487 1F3FD 200D 2640,\U0001f487\U0001f3fd\u200d\u2640
1830,💇🏾‍♀️,People & Body,person-activity,woman getting haircut: medium-dark skin tone,fully-qualified,E4.0,1F487 1F3FE 200D 2640 FE0F,\U0001f487\U0001f3fe\u200d\u2640\ufe0f
1831,💇🏾‍♀,People & Body,person-activity,woman getting haircut: medium-dark skin tone,minimally-qualified,E4.0,1F487 1F3FE 200D 2640,\U0001f487\U0001f3fe\u200d\u2640
1832,💇🏿‍♀️,People & Body,person-activity,woman getting haircut: dark skin tone,fully-qualified,E4.0,1F487 1F3FF 200D 2640 FE0F,\U0001f487\U0001f3ff\u200d\u2640\ufe0f
1833,💇🏿‍♀,People & Body,person-activity,woman getting haircut: dark skin tone,minimally-qualified,E4.0,1F487 1F3FF 200D 2640,\U0001f487\U0001f3ff\u200d\u2640
1834,🚶,People & Body,person-activity,person walking,fully-qualified,E0.6,1F6B6,\U0001f6b6
1835,🚶🏻,People & Body,person-activity,person walking: light skin tone,fully-qualified,E1.0,1F6B6 1F3FB,\U0001f6b6\U0001f3fb
1836,🚶🏼,People & Body,person-activity,person walking: medium-light skin tone,fully-qualified,E1.0,1F6B6 1F3FC,\U0001f6b6\U0001f3fc
1837,🚶🏽,People & Body,person-activity,person walking: medium skin tone,fully-qualified,E1.0,1F6B6 1F3FD,\U0001f6b6\U0001f3fd
1838,🚶🏾,People & Body,person-activity,person walking: medium-dark skin tone,fully-qualified,E1.0,1F6B6 1F3FE,\U0001f6b6\U0001f3fe
1839,🚶🏿,People & Body,person-activity,person walking: dark skin tone,fully-qualified,E1.0,1F6B6 1F3FF,\U0001f6b6\U0001f3ff
1840,🚶‍♂️,People & Body,person-activity,man walking,fully-qualified,E4.0,1F6B6 200D 2642 FE0F,\U0001f6b6\u200d\u2642\ufe0f
1841,🚶‍♂,People & Body,person-activity,man walking,minimally-qualified,E4.0,1F6B6 200D 2642,\U0001f6b6\u200d\u2642
1842,🚶🏻‍♂️,People & Body,person-activity,man walking: light skin tone,fully-qualified,E4.0,1F6B6 1F3FB 200D 2642 FE0F,\U0001f6b6\U0001f3fb\u200d\u2642\ufe0f
1843,🚶🏻‍♂,People & Body,person-activity,man walking: light skin tone,minimally-qualified,E4.0,1F6B6 1F3FB 200D 2642,\U0001f6b6\U0001f3fb\u200d\u2642
1844,🚶🏼‍♂️,People & Body,person-activity,man walking: medium-light skin tone,fully-qualified,E4.0,1F6B6 1F3FC 200D 2642 FE0F,\U0001f6b6\U0001f3fc\u200d\u2642\ufe0f
1845,🚶🏼‍♂,People & Body,person-activity,man walking: medium-light skin tone,minimally-qualified,E4.0,1F6B6 1F3FC 200D 2642,\U0001f6b6\U0001f3fc\u200d\u2642
1846,🚶🏽‍♂️,People & Body,person-activity,man walking: medium skin tone,fully-qualified,E4.0,1F6B6 1F3FD 200D 2642 FE0F,\U0001f6b6\U0001f3fd\u200d\u2642\ufe0f
1847,🚶🏽‍♂,People & Body,person-activity,man walking: medium skin tone,minimally-qualified,E4.0,1F6B6 1F3FD 200D 2642,\U0001f6b6\U0001f3fd\u200d\u2642
1848,🚶🏾‍♂️,People & Body,person-activity,man walking: medium-dark skin tone,fully-qualified,E4.0,1F6B6 1F3FE 200D 2642 FE0F,\U0001f6b6\U0001f3fe\u200d\u2642\ufe0f
1849,🚶🏾‍♂,People & Body,person-activity,man walking: medium-dark skin tone,minimally-qualified,E4.0,1F6B6 1F3FE 200D 2642,\U0001f6b6\U0001f3fe\u200d\u2642
1850,🚶🏿‍♂️,People & Body,person-activity,man walking: dark skin tone,fully-qualified,E4.0,1F6B6 1F3FF 200D 2642 FE0F,\U0001f6b6\U0001f3ff\u200d\u2642\ufe0f
1851,🚶🏿‍♂,People & Body,person-activity,man walking: dark skin tone,minimally-qualified,E4.0,1F6B6 1F3FF 200D 2642,\U0001f6b6\U0001f3ff\u200d\u2642
1852,🚶‍♀️,People & Body,person-activity,woman walking,fully-qualified,E4.0,1F6B6 200D 2640 FE0F,\U0001f6b6\u200d\u2640\ufe0f
1853,🚶‍♀,People & Body,person-activity,woman walking,minimally-qualified,E4.0,1F6B6 200D 2640,\U0001f6b6\u200d\u2640
1854,🚶🏻‍♀️,People & Body,person-activity,woman walking: light skin tone,fully-qualified,E4.0,1F6B6 1F3FB 200D 2640 FE0F,\U0001f6b6\U0001f3fb\u200d\u2640\ufe0f
1855,🚶🏻‍♀,People & Body,person-activity,woman walking: light skin tone,minimally-qualified,E4.0,1F6B6 1F3FB 200D 2640,\U0001f6b6\U0001f3fb\u200d\u2640
1856,🚶🏼‍♀️,People & Body,person-activity,woman walking: medium-light skin tone,fully-qualified,E4.0,1F6B6 1F3FC 200D 2640 FE0F,\U0001f6b6\U0001f3fc\u200d\u2640\ufe0f
1857,🚶🏼‍♀,People & Body,person-activity,woman walking: medium-light skin tone,minimally-qualified,E4.0,1F6B6 1F3FC 200D 2640,\U0001f6b6\U0001f3fc\u200d\u2640
1858,🚶🏽‍♀️,People & Body,person-activity,woman walking: medium skin tone,fully-qualified,E4.0,1F6B6 1F3FD 200D 2640 FE0F,\U0001f6b6\U0001f3fd\u200d\u2640\ufe0f
1859,🚶🏽‍♀,People & Body,person-activity,woman walking: medium skin tone,minimally-qualified,E4.0,1F6B6 1F3FD 200D 2640,\U0001f6b6\U0001f3fd\u200d\u2640
1860,🚶🏾‍♀️,People & Body,person-activity,woman walking: medium-dark skin tone,fully-qualified,E4.0,1F6B6 1F3FE 200D 2640 FE0F,\U0001f6b6\U0001f3fe\u200d\u2640\ufe0f
1861,🚶🏾‍♀,People & Body,person-activity,woman walking: medium-dark skin tone,minimally-qualified,E4.0,1F6B6 1F3FE 200D 2640,\U0001f6b6\U0001f3fe\u200d\u2640
1862,🚶🏿‍♀️,People & Body,person-activity,woman walking: dark skin tone,fully-qualified,E4.0,1F6B6 1F3FF 200D 2640 FE0F,\U0001f6b6\U0001f3ff\u200d\u2640\ufe0f
1863,🚶🏿‍♀,People & Body,person-activity,woman walking: dark skin tone,minimally-qualified,E4.0,1F6B6 1F3FF 200D 2640,\U0001f6b6\U0001f3ff\u200d\u2640
1864,🧍,People & Body,person-activity,person standing,fully-qualified,E12.0,1F9CD,\U0001f9cd
1865,🧍🏻,People & Body,person-activity,person standing: light skin tone,fully-qualified,E12.0,1F9CD 1F3FB,\U0001f9cd\U0001f3fb
1866,🧍🏼,People & Body,person-activity,person standing: medium-light skin tone,fully-qualified,E12.0,1F9CD 1F3FC,\U0001f9cd\U0001f3fc
1867,🧍🏽,People & Body,person-activity,person standing: medium skin tone,fully-qualified,E12.0,1F9CD 1F3FD,\U0001f9cd\U0001f3fd
1868,🧍🏾,People & Body,person-activity,person standing: medium-dark skin tone,fully-qualified,E12.0,1F9CD 1F3FE,\U0001f9cd\U0001f3fe
1869,🧍🏿,People & Body,person-activity,person standing: dark skin tone,fully-qualified,E12.0,1F9CD 1F3FF,\U0001f9cd\U0001f3ff
1870,🧍‍♂️,People & Body,person-activity,man standing,fully-qualified,E12.0,1F9CD 200D 2642 FE0F,\U0001f9cd\u200d\u2642\ufe0f
1871,🧍‍♂,People & Body,person-activity,man standing,minimally-qualified,E12.0,1F9CD 200D 2642,\U0001f9cd\u200d\u2642
1872,🧍🏻‍♂️,People & Body,person-activity,man standing: light skin tone,fully-qualified,E12.0,1F9CD 1F3FB 200D 2642 FE0F,\U0001f9cd\U0001f3fb\u200d\u2642\ufe0f
1873,🧍🏻‍♂,People & Body,person-activity,man standing: light skin tone,minimally-qualified,E12.0,1F9CD 1F3FB 200D 2642,\U0001f9cd\U0001f3fb\u200d\u2642
1874,🧍🏼‍♂️,People & Body,person-activity,man standing: medium-light skin tone,fully-qualified,E12.0,1F9CD 1F3FC 200D 2642 FE0F,\U0001f9cd\U0001f3fc\u200d\u2642\ufe0f
1875,🧍🏼‍♂,People & Body,person-activity,man standing: medium-light skin tone,minimally-qualified,E12.0,1F9CD 1F3FC 200D 2642,\U0001f9cd\U0001f3fc\u200d\u2642
1876,🧍🏽‍♂️,People & Body,person-activity,man standing: medium skin tone,fully-qualified,E12.0,1F9CD 1F3FD 200D 2642 FE0F,\U0001f9cd\U0001f3fd\u200d\u2642\ufe0f
1877,🧍🏽‍♂,People & Body,person-activity,man standing: medium skin tone,minimally-qualified,E12.0,1F9CD 1F3FD 200D 2642,\U0001f9cd\U0001f3fd\u200d\u2642
1878,🧍🏾‍♂️,People & Body,person-activity,man standing: medium-dark skin tone,fully-qualified,E12.0,1F9CD 1F3FE 200D 2642 FE0F,\U0001f9cd\U0001f3fe\u200d\u2642\ufe0f
